,Max Temp,Min Temp,Diesel Price,Agri Cont To GDP(%),Rainfall,Ragi.Price(Target),Ragi.MSP
Apr-04,32.97,21.79,22.74,17.16,55.2,104.2,505.0
May-04,33.23,22.79,22.74,17.16,80.6,102.8,505.0
Jun-04,32.23,23.79,22.74,17.16,171.1,101.0,505.0
Jul-04,31.38,24.79,22.74,17.16,250.5,99.3,505.0
Aug-04,30.85,25.79,22.74,17.16,254.0,99.1,505.0
Sep-04,31.2,26.79,22.74,17.16,131.5,99.1,505.0
Oct-04,29.18,27.79,22.74,17.16,95.0,99.7,505.0
Nov-04,28.23,28.79,22.74,17.16,17.9,100.9,505.0
Dec-04,25.54,29.79,22.74,17.16,2.8,96.7,505.0
Jan-05,24.18,13.97,28.22,16.04,28.1,98.7,515.0
Feb-05,25.74,14.97,28.22,16.04,41.8,99.6,515.0
Mar-05,29.5,15.97,28.22,16.04,42.5,98.9,515.0
Apr-05,32.37,16.97,28.22,16.04,37.7,101.8,515.0
May-05,33.57,17.97,28.22,16.04,46.1,101.6,515.0
Jun-05,33.88,18.97,28.22,16.04,143.2,100.7,515.0
Jul-05,30.96,19.97,28.22,16.04,334.1,101.0,515.0
Aug-05,31.45,20.97,28.22,16.04,190.1,99.7,515.0
Sep-05,31.05,21.97,28.22,16.04,206.9,100.2,515.0
Oct-05,29.78,22.97,28.22,16.04,99.3,99.4,515.0
Nov-05,27.6,23.97,28.22,16.04,27.2,101.8,515.0
Dec-05,25.11,24.97,28.22,16.04,11.2,102.5,515.0
Jan-06,25.66,14.37,30.45,15.46,17.7,102.3,525.0
Feb-06,29.33,15.37,30.45,15.46,11.9,102.7,525.0
Mar-06,29.56,16.37,30.45,15.46,35.6,102.6,525.0
Apr-06,32.59,17.37,30.45,15.46,32.7,102.3,525.0
May-06,34.09,18.37,30.45,15.46,75.0,102.9,525.0
Jun-06,32.65,19.37,30.45,15.46,141.8,105.5,525.0
Jul-06,31.59,20.37,30.45,15.46,287.6,108.2,525.0
Aug-06,30.76,21.37,30.45,15.46,281.3,108.3,525.0
Sep-06,30.57,22.37,30.45,15.46,178.6,110.7,525.0
Oct-06,30.46,23.37,30.45,15.46,51.8,113.7,525.0
Nov-06,27.61,24.37,30.45,15.46,34.6,114.9,525.0
Dec-06,25.27,25.37,30.45,15.46,13.1,116.3,525.0
Jan-07,25.19,13.26,30.25,14.69,1.7000000000000002,117.0,540.0
Feb-07,26.28,14.26,30.25,14.69,36.7,122.4,540.0
Mar-07,29.33,15.26,30.25,14.69,35.2,123.8,540.0
Apr-07,33.57,16.26,30.25,14.69,30.6,125.4,540.0
May-07,34.05,17.26,30.25,14.69,46.8,123.1,540.0
Jun-07,32.63,18.26,30.25,14.69,192.5,122.1,540.0
Jul-07,31.29,19.26,30.25,14.69,286.2,124.9,540.0
Aug-07,31.06,20.26,30.25,14.69,257.4,123.9,540.0
Sep-07,30.64,21.26,30.25,14.69,206.8,123.7,540.0
Oct-07,30.49,22.26,30.25,14.69,55.7,124.3,540.0
Nov-07,28.41,23.26,30.25,14.69,14.4,121.6,540.0
Dec-07,25.19,24.26,30.25,14.69,15.3,122.1,540.0
Jan-08,23.97,13.02,31.76,14.29,18.4,122.8,600.0
Feb-08,25.48,14.02,31.76,14.29,19.3,122.5,600.0
Mar-08,30.34,15.02,31.76,14.29,41.2,123.9,600.0
Apr-08,32.13,16.02,31.76,14.29,29.5,123.9,600.0
May-08,33.86,17.02,31.76,14.29,43.7,123.9,600.0
Jun-08,32.15,18.02,31.76,14.29,202.0,127.9,600.0
Jul-08,31.24,19.02,31.76,14.29,245.0,123.3,600.0
Aug-08,30.69,20.02,31.76,14.29,265.8,125.1,600.0
Sep-08,30.92,21.02,31.76,14.29,165.1,126.9,600.0
Oct-08,30.81,22.02,31.76,14.29,51.6,137.1,600.0
Nov-08,28.15,23.02,31.76,14.29,25.5,137.0,600.0
Dec-08,25.99,24.02,31.76,14.29,11.0,138.1,600.0
Jan-09,25.27,14.35,30.86,13.36,12.0,139.5,915.0
Feb-09,27.75,15.35,30.86,13.36,12.0,144.2,915.0
Mar-09,30.57,16.35,30.86,13.36,14.2,172.3,915.0
Apr-09,33.09,17.35,30.86,13.36,5.1,172.6,915.0
May-09,34.09,18.35,30.86,13.36,56.0,172.9,915.0
Jun-09,33.73,19.35,30.86,13.36,85.7,177.9,915.0
Jul-09,31.77,20.35,30.86,13.36,280.7,177.1,915.0
Aug-09,31.84,21.35,30.86,13.36,192.5,177.0,915.0
Sep-09,31.6,22.35,30.86,13.36,139.4,176.2,915.0
Oct-09,30.75,23.35,30.86,13.36,71.4,172.4,915.0
Nov-09,27.59,24.35,30.86,13.36,53.7,172.8,915.0
Dec-09,25.53,25.35,30.86,13.36,11.1,174.1,915.0
Jan-10,24.89,13.59,38.1,12.35,7.5,174.2,915.0
Feb-10,27.03,14.59,38.1,12.35,17.0,174.0,915.0
Mar-10,31.94,15.59,38.1,12.35,14.0,174.9,915.0
Apr-10,34.07,16.59,38.1,12.35,39.0,173.6,915.0
May-10,34.43,17.59,38.1,12.35,73.8,174.0,915.0
Jun-10,33.22,18.59,38.1,12.35,138.1,172.9,915.0
Jul-10,31.424,19.59,38.1,12.35,300.7,172.5,915.0
Aug-10,30.77,20.59,38.1,12.35,274.7,173.2,915.0
Sep-10,30.65,21.59,38.1,12.35,197.7,171.5,915.0
Oct-10,30.47,22.59,38.1,12.35,69.0,170.4,915.0
Nov-10,28.01,23.59,38.1,12.35,61.4,170.8,915.0
Dec-10,24.88,24.59,38.1,12.35,22.7,172.0,915.0
Jan-11,24.18,12.59,37.75,12.42,6.8,172.9,965.0
Feb-11,26.47,13.59,37.75,12.42,25.8,181.4,965.0
Mar-11,30.17,14.59,37.75,12.42,22.4,180.3,965.0
Apr-11,31.7,15.59,37.75,12.42,41.1,184.6,965.0
May-11,34.33,16.59,37.75,12.42,53.1,186.2,965.0
Jun-11,33.02,17.59,37.75,12.42,183.5,192.5,965.0
Jul-11,31.41,18.59,37.75,12.42,246.0,197.3,965.0
Aug-11,30.92,19.59,37.75,12.42,284.9,208.1,965.0
Sep-11,30.81,20.59,37.75,12.42,186.9,206.1,965.0
Oct-11,30.85,21.59,37.75,12.42,38.1,208.7,965.0
Nov-11,28.31,22.59,37.75,12.42,20.1,210.1,965.0
Dec-11,25.6,23.59,37.75,12.42,7.6,214.8,965.0
Jan-12,23.61,12.91,40.91,12.26,26.5,215.8,1050.0
Feb-12,26.44,13.91,40.91,12.26,12.7,216.1,1050.0
Mar-12,30.2,14.91,40.91,12.26,11.3,218.7,1050.0
Apr-12,32.46,15.91,40.91,12.26,47.5,223.5,1050.0
May-12,34.3,16.91,40.91,12.26,31.7,228.4,1050.0
Jun-12,33.6,17.91,40.91,12.26,117.8,224.0,1050.0
Jul-12,31.88,18.91,40.91,12.26,250.2,235.6,1050.0
Aug-12,30.96,19.91,40.91,12.26,262.4,252.3,1050.0
Sep-12,30.65,20.91,40.91,12.26,193.5,269.9,1050.0
Oct-12,30.2,21.91,40.91,12.26,58.7,284.8,1050.0
Nov-12,28.11,22.91,40.91,12.26,30.7,312.1,1050.0
Dec-12,25.34,23.91,40.91,12.26,11.7,323.5,1050.0
Jun-13,32.44,18.22,48.63,11.85,219.8,346.3,1500.0
Jul-13,31.07,19.22,48.63,11.85,310.0,348.0,1500.0
Aug-13,30.76,20.22,48.63,11.85,254.7,356.9,1500.0
Sep-13,31.04,21.22,48.63,11.85,152.7,348.9,1500.0
