,Max Temp,Min Temp,Diesel Price(in Rs),Agri Cont To GDP,Rainfall,Rice.Price(Target),Rice.MSP,Rice Export Quantity,Rice Exports Value
Apr-04,32.97,21.79,22.74,17.16,55.2,96.9,550.0,3615109.0,3945.0
May-04,33.23,22.79,22.74,17.16,80.6,97.8,550.0,3615109.0,3945.0
Jun-04,32.23,23.79,22.74,17.16,171.1,98.7,550.0,3615109.0,3945.0
Jul-04,31.38,24.79,22.74,17.16,250.5,98.9,550.0,3615109.0,3945.0
Aug-04,30.85,25.79,22.74,17.16,254.0,99.7,550.0,3615109.0,3945.0
Sep-04,31.2,26.79,22.74,17.16,131.5,100.3,550.0,3615109.0,3945.0
Oct-04,29.18,27.79,22.74,17.16,95.0,101.1,550.0,3615109.0,3945.0
Nov-04,28.23,28.79,22.74,17.16,17.9,100.7,550.0,3615109.0,3945.0
Dec-04,25.54,29.79,22.74,17.16,2.8,100.8,550.0,3615109.0,3945.0
Jan-05,24.18,13.97,28.22,16.04,28.1,101.2,560.0,2921601.0,3178.0
Feb-05,25.74,14.97,28.22,16.04,41.8,102.0,560.0,2921601.0,3178.0
Mar-05,29.5,15.97,28.22,16.04,42.5,102.1,560.0,2921601.0,3178.0
Apr-05,32.37,16.97,28.22,16.04,37.7,102.5,560.0,2921601.0,3178.0
May-05,33.57,17.97,28.22,16.04,46.1,102.5,560.0,2921601.0,3178.0
Jun-05,33.88,18.97,28.22,16.04,143.2,104.3,560.0,2921601.0,3178.0
Jul-05,30.96,19.97,28.22,16.04,334.1,105.7,560.0,2921601.0,3178.0
Aug-05,31.45,20.97,28.22,16.04,190.1,106.7,560.0,2921601.0,3178.0
Sep-05,31.05,21.97,28.22,16.04,206.9,107.0,560.0,2921601.0,3178.0
Oct-05,29.78,22.97,28.22,16.04,99.3,107.6,560.0,2921601.0,3178.0
Nov-05,27.6,23.97,28.22,16.04,27.2,106.6,560.0,2921601.0,3178.0
Dec-05,25.11,24.97,28.22,16.04,11.2,105.0,560.0,2921601.0,3178.0
Jan-06,25.66,14.37,30.45,15.46,17.7,104.9,570.0,3702191.0,4243.0
Feb-06,29.33,15.37,30.45,15.46,11.9,105.0,570.0,3702191.0,4243.0
Mar-06,29.56,16.37,30.45,15.46,35.6,105.0,570.0,3702191.0,4243.0
Apr-06,32.59,17.37,30.45,15.46,32.7,105.6,570.0,3702191.0,4243.0
May-06,34.09,18.37,30.45,15.46,75.0,106.4,570.0,3702191.0,4243.0
Jun-06,32.65,19.37,30.45,15.46,141.8,107.0,570.0,3702191.0,4243.0
Jul-06,31.59,20.37,30.45,15.46,287.6,107.3,570.0,3702191.0,4243.0
Aug-06,30.76,21.37,30.45,15.46,281.3,107.8,570.0,3702191.0,4243.0
Sep-06,30.57,22.37,30.45,15.46,178.6,108.9,570.0,3702191.0,4243.0
Oct-06,30.46,23.37,30.45,15.46,51.8,111.7,570.0,3702191.0,4243.0
Nov-06,27.61,24.37,30.45,15.46,34.6,112.0,570.0,3702191.0,4243.0
Dec-06,25.27,25.37,30.45,15.46,13.1,111.9,570.0,3702191.0,4243.0
Jan-07,25.19,13.26,30.25,14.69,1.7000000000000002,113.3,580.0,5285916.0,7409.79
Feb-07,26.28,14.26,30.25,14.69,36.7,113.9,580.0,5285916.0,7409.79
Mar-07,29.33,15.26,30.25,14.69,35.2,114.5,580.0,5285916.0,7409.79
Apr-07,33.57,16.26,30.25,14.69,30.6,115.7,580.0,5285916.0,7409.79
May-07,34.05,17.26,30.25,14.69,46.8,116.2,580.0,5285916.0,7409.79
Jun-07,32.63,18.26,30.25,14.69,192.5,116.6,580.0,5285916.0,7409.79
Jul-07,31.29,19.26,30.25,14.69,286.2,117.8,580.0,5285916.0,7409.79
Aug-07,31.06,20.26,30.25,14.69,257.4,119.3,580.0,5285916.0,7409.79
Sep-07,30.64,21.26,30.25,14.69,206.8,120.6,580.0,5285916.0,7409.79
Oct-07,30.49,22.26,30.25,14.69,55.7,126.1,580.0,5285916.0,7409.79
Nov-07,28.41,23.26,30.25,14.69,14.4,125.4,580.0,5285916.0,7409.79
Dec-07,25.19,24.26,30.25,14.69,15.3,124.8,580.0,5285916.0,7409.79
Jan-08,23.97,13.02,31.76,14.29,18.4,127.3,645.0,931879.0,1687.37
Feb-08,25.48,14.02,31.76,14.29,19.3,128.8,645.0,931879.0,1687.37
Mar-08,30.34,15.02,31.76,14.29,41.2,130.9,645.0,931879.0,1687.37
Apr-08,32.13,16.02,31.76,14.29,29.5,132.6,645.0,931879.0,1687.37
May-08,33.86,17.02,31.76,14.29,43.7,132.7,645.0,931879.0,1687.37
Jun-08,32.15,18.02,31.76,14.29,202.0,132.6,645.0,931879.0,1687.37
Jul-08,31.24,19.02,31.76,14.29,245.0,133.9,645.0,931879.0,1687.37
Aug-08,30.69,20.02,31.76,14.29,265.8,134.9,645.0,931879.0,1687.37
Sep-08,30.92,21.02,31.76,14.29,165.1,135.7,645.0,931879.0,1687.37
Oct-08,30.81,22.02,31.76,14.29,51.6,145.0,645.0,931879.0,1687.37
Nov-08,28.15,23.02,31.76,14.29,25.5,146.3,645.0,931879.0,1687.37
Dec-08,25.99,24.02,31.76,14.29,11.0,146.3,645.0,931879.0,1687.37
Jan-09,25.27,14.35,30.86,13.36,12.0,147.0,850.0,139540.0,365.3
Feb-09,27.75,15.35,30.86,13.36,12.0,149.3,850.0,139540.0,365.3
Mar-09,30.57,16.35,30.86,13.36,14.2,151.1,850.0,139540.0,365.3
Apr-09,33.09,17.35,30.86,13.36,5.1,150.9,850.0,139540.0,365.3
May-09,34.09,18.35,30.86,13.36,56.0,151.0,850.0,139540.0,365.3
Jun-09,33.73,19.35,30.86,13.36,85.7,151.8,850.0,139540.0,365.3
Jul-09,31.77,20.35,30.86,13.36,280.7,151.4,850.0,139540.0,365.3
Aug-09,31.84,21.35,30.86,13.36,192.5,153.1,850.0,139540.0,365.3
Sep-09,31.6,22.35,30.86,13.36,139.4,157.6,850.0,139540.0,365.3
Oct-09,30.75,23.35,30.86,13.36,71.4,160.2,850.0,139540.0,365.3
Nov-09,27.59,24.35,30.86,13.36,53.7,162.6,850.0,139540.0,365.3
Dec-09,25.53,25.35,30.86,13.36,11.1,164.5,850.0,139540.0,365.3
